year,selling_price,km_driven,fuel,transmission,owner,engine,max_power
2014,450000,145500,1,2,0,1248.0,74.0
2014,370000,120000,1,2,1,1498.0,103.52
2006,158000,140000,2,2,2,1497.0,78.0
2010,225000,127000,1,2,0,1396.0,90.0
2007,130000,120000,2,2,0,1298.0,88.2
2017,440000,45000,2,2,0,1197.0,81.86
2007,96000,175000,4,2,0,1061.0,57.5
2011,350000,90000,1,2,0,1364.0,67.1
2013,200000,169000,1,2,0,1399.0,68.1
2014,500000,68000,1,2,1,1461.0,108.45
2009,280000,140000,1,2,1,1248.0,73.9
2007,200000,80000,2,2,1,1458.625015808777,91.51791898382203
2009,180000,90000,2,2,1,1061.0,67.0
2016,400000,40000,2,2,0,1198.0,82.0
2016,778000,70000,1,2,1,1248.0,88.5
2012,500000,53000,1,2,1,1396.0,90.0
2016,680000,100000,1,2,0,1396.0,88.73
2011,174000,100000,1,2,1,1461.0,64.1
2017,950000,50000,1,2,0,1498.0,98.6
2015,525000,40000,1,2,0,1248.0,74.0
2012,600000,72000,1,2,0,1248.0,88.8
2018,500000,35000,2,2,0,1199.0,83.81
2016,575000,45000,2,2,0,1197.0,83.1
2017,275000,28000,2,2,0,796.0,47.3
2013,300000,70000,1,2,0,1248.0,73.8
2009,220000,120000,2,2,0,1061.0,67.0
2018,254999,25000,2,2,0,796.0,34.2
2017,670000,70000,1,2,0,1248.0,88.5
2012,150000,35000,2,2,1,796.0,35.0
2018,730000,2388,2,2,0,1197.0,81.83
2017,650000,16200,1,2,0,1248.0,88.5
2019,330000,10000,3,2,1,796.0,40.3
2019,366000,15000,2,2,0,998.0,67.1
2016,150000,42000,2,2,0,1198.0,67.0
2011,425000,60000,1,2,1,2179.0,138.03
2012,150000,76000,2,2,0,796.0,37.0
2018,925000,28900,2,2,0,1497.0,117.3
2013,425000,86300,2,2,0,1497.0,116.3
2018,675000,23300,2,1,0,1197.0,83.14
2018,819999,32600,1,2,0,1248.0,88.5
2018,390000,10300,2,2,0,998.0,67.05
2013,700000,99000,1,2,0,2494.0,100.0
2015,425000,49800,1,2,0,1498.0,98.63
2015,600000,54700,1,2,0,1498.0,98.6
2018,850000,64000,2,2,0,1462.0,103.25
2015,525000,63000,1,2,0,1498.0,98.6
2016,950000,99000,1,2,0,2494.0,100.6
2011,265000,120000,1,2,0,1248.0,88.8
2011,190000,110000,2,2,2,1197.0,78.9
2013,425000,60000,1,2,0,1396.0,88.76
2015,630000,147000,1,2,1,1248.0,74.0
2017,600000,25000,2,2,2,1196.0,86.8
2019,650000,30000,2,2,0,1197.0,83.1
2016,540000,40000,1,2,0,1498.0,108.495
2015,630000,135000,1,2,0,1498.0,98.6
2018,448000,30000,2,1,0,998.0,67.0
2017,500000,80000,1,2,0,1498.0,108.62
2016,745000,70000,1,2,0,1248.0,88.5
2011,235000,60000,2,2,1,1197.0,78.9
2016,630000,70000,1,2,0,1248.0,74.0
2013,450000,120000,1,2,1,1248.0,74.0
2012,450000,120000,2,2,1,1373.0,93.7
2013,450000,170000,1,2,0,1598.0,103.6
2015,610000,90000,1,2,0,1498.0,98.59
2017,484999,10000,2,2,0,998.0,67.04
2016,275000,49000,2,2,0,1198.0,67.05
2016,315000,32000,2,2,0,796.0,47.3
2016,275000,38000,2,2,0,796.0,47.3
2015,475000,78000,1,2,0,1458.625015808777,91.51791898382203
2012,290000,28000,2,2,0,1086.0,68.05
2017,280000,32000,2,2,0,796.0,35.0
2010,225000,44000,4,2,0,998.0,58.2
2015,455000,42000,2,2,0,1198.0,74.0
2015,351000,45000,2,2,1,1086.0,68.05
2012,535000,12000,2,2,1,1598.0,103.6
2009,175000,55500,2,2,0,998.0,67.1
2013,525000,61500,2,2,0,1197.0,82.85
2016,600000,150000,1,2,0,1248.0,74.0
2016,565000,72000,2,1,0,1197.0,82.0
2008,120000,68000,2,2,2,796.0,46.3
2017,725000,110000,1,2,0,1396.0,88.73
2009,185000,77000,2,2,1,998.0,67.05
2010,200000,100000,1,2,1,1248.0,90.0
2019,615000,10000,2,2,0,1197.0,81.8
2016,270000,100000,2,2,2,1196.0,73.0
2018,610000,35000,2,2,0,1197.0,83.1
2014,625000,70000,1,1,1,2179.0,120.0
2020,400000,5000,2,2,1,1194.0,94.68
2017,866000,37800,2,2,0,1591.0,121.3
2010,300000,48000,2,2,0,1172.0,65.0
2016,375000,100000,1,2,0,1405.0,69.01
2013,522000,150000,1,2,1,1582.0,126.32
2013,451999,69000,1,2,0,1396.0,88.76
2009,300000,100000,2,2,1,1798.0,138.1
2020,475000,13000,2,2,0,998.0,67.04
2016,780000,60000,1,2,0,1248.0,88.5
2017,595000,40000,2,2,0,1197.0,83.14
2017,440000,35000,2,2,0,998.0,67.04
2010,300000,120000,1,2,1,1458.625015808777,91.51791898382203
2014,400000,70000,1,2,2,1461.0,83.8
2017,850000,76139,1,2,0,1498.0,98.96
2012,370000,175000,1,2,2,1248.0,73.9
2018,350000,25000,2,2,0,999.0,67.0
2015,360000,40000,2,2,1,998.0,67.04
